Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
4861,Jesus Is King,1082629,973000,109629,2019.csv,2019,89.9%,10.1%
4862,Mystify: Michael Hutchence,1082456,289573,792883,2019.csv,2019,26.8%,73.2%
4863,The Statement,1079822,765637,314185,2003.csv,2003,70.9%,29.1%
4864,The Cup,1079108,1079108,0,2000.csv,2000,100%,-
4865,Page One: Inside the New York Times,1077982,1067028,10954,2011.csv,2011,99%,1%
4866,Turtles Can Fly,1075553,258578,816975,2005.csv,2005,24%,76%
4867,The Salton Sea,1073198,764554,308644,2002.csv,2002,71.2%,28.8%
4868,The First Monday in May,1072943,527474,545469,2016.csv,2016,49.2%,50.8%
4869,Killing Season,1071322,39881,1031441,2013.csv,2013,3.7%,96.3%
4870,When Brendan Met Trudy,1069648,133376,936272,2001.csv,2001,12.5%,87.5%
4871,Au nom de ma fille,1066493,1623,1064870,2016.csv,2016,0.2%,99.8%
4872,The Oogieloves in the Big Balloon Adventure,1065907,1065907,0,2012.csv,2012,100%,-
4873,50 to 1,1064454,1064454,0,2014.csv,2014,100%,-
4874,La Mission,1062941,1062941,0,2010.csv,2010,100%,-
4875,Carlos,1059369,145526,913843,2010.csv,2010,13.7%,86.3%
4876,Bennett's War,1056416,1056416,0,2019.csv,2019,100%,-
4877,Borgman,1052010,57474,994536,2013.csv,2013,5.5%,94.5%
4878,All Over the Guy,1051948,1022324,29624,2001.csv,2001,97.2%,2.8%
4879,No One Lives,1048704,74918,973786,2013.csv,2013,7.1%,92.9%
4880,Aarakshan,1048507,651096,397411,2011.csv,2011,62.1%,37.9%
4881,Extremedays,1047553,1047553,0,2001.csv,2001,100%,-
4882,A Tale of Two Sisters,1045252,72541,972711,2003.csv,2003,6.9%,93.1%
4883,A Brilliant Young Mind,1043620,171793,871827,2015.csv,2015,16.5%,83.5%
4884,Hecho en México,1042673,151133,891540,2012.csv,2012,14.5%,85.5%
4885,Khatta Meetha,1040814,541904,498910,2010.csv,2010,52.1%,47.9%
4886,Spark: A Space Tail,1040689,196458,844231,2017.csv,2017,18.9%,81.1%
4887,Befikre,1040421,498000,542421,2016.csv,2016,47.9%,52.1%
4888,The Dark Crystal 2018 Re-release,1036956,1036956,0,2018.csv,2018,100%,-
4889,Swept Away,1036520,598645,437875,2002.csv,2002,57.8%,42.2%
4890,Noah: The Musical,1035603,1035603,0,2019.csv,2019,100%,-
4891,Unconditional,1034448,1005800,28648,2012.csv,2012,97.2%,2.8%
4892,Margaret Cho: Notorious C.H.O.,1033395,1033395,0,2002.csv,2002,100%,-
4893,Urbania,1032075,1032075,0,2000.csv,2000,100%,-
4894,Ain't Them Bodies Saints,1031243,396519,634724,2013.csv,2013,38.5%,61.5%
4895,We Are Family,1031070,638144,392926,2010.csv,2010,61.9%,38.1%
4896,The Eyes of Tammy Faye,1029591,1029591,0,2000.csv,2000,100%,-
4897,Breaking News,1028420,0,1028420,2004.csv,2004,-,100%
4898,Knight of Cups,1026288,566006,460282,2015.csv,2015,55.2%,44.8%
4899,Casablanca 2017 Re-release,1024560,1024560,0,2017.csv,2017,100%,-
4900,Tangerines,1024132,144501,879631,2015.csv,2015,14.1%,85.9%
4901,The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,1023233,1023233,0,2018.csv,2018,100%,-
4902,"The Bread, My Sweet",1023156,1023156,0,2001.csv,2001,100%,-
4903,Pinjar,1022336,66290,956046,2003.csv,2003,6.5%,93.5%
4904,Ma Mère,1022148,71616,950532,2004.csv,2004,7%,93%
4905,The Taste of Others,1021938,891369,130569,2000.csv,2000,87.2%,12.8%
4906,Leaves of Grass,1018753,70066,948687,2010.csv,2010,6.9%,93.1%
4907,The Oscar Nominated Short Films 2010: Live Action,1018169,1018169,0,2010.csv,2010,100%,-
4908,On a Clear Day,1017257,191033,826224,2005.csv,2005,18.8%,81.2%
4909,Husband Material,1016545,567417,449128,2018.csv,2018,55.8%,44.2%
4910,Savage Messiah,1015671,1015671,0,2002.csv,2002,100%,-
4911,Two Family House,1015122,1015122,0,2000.csv,2000,100%,-
4912,Assassination Tango,1013272,1013272,0,2003.csv,2003,100%,-
4913,Big Stone Gap,1012804,1009301,3503,2015.csv,2015,99.7%,0.3%
4914,L'attesa,1010766,55804,954962,2015.csv,2015,5.5%,94.5%
4915,Elvis: The Comeback Special,1010657,1010657,0,2018.csv,2018,100%,-
4916,Far from Men,1010485,5336,1005149,2015.csv,2015,0.5%,99.5%
4917,Cold Blood,1009888,5083,1004805,2019.csv,2019,0.5%,99.5%
4918,The Song,1009620,1009620,0,2014.csv,2014,100%,-
4919,Francofonia,1008154,307040,701114,2015.csv,2015,30.5%,69.5%
4920,Sidewalls,1008116,2377,1005739,2011.csv,2011,0.2%,99.8%
4921,Lilya 4-Ever,1007747,184023,823724,2002.csv,2002,18.3%,81.7%
4922,The Princess and the Warrior,1004858,872091,132767,2001.csv,2001,86.8%,13.2%
4923,Ghost House,1004155,0,1004155,2017.csv,2017,-,100%
4924,Faith of Our Fathers,1004105,1004105,0,2015.csv,2015,100%,-
4925,Kiki's Delivery Service 2019 Re-release,1004057,1004057,0,2019.csv,2019,100%,-
4926,Valentin 2003 Re-release,1002172,275968,726204,2003.csv,2003,27.5%,72.5%
4927,The Workshop,1000056,22061,977995,2017.csv,2017,2.2%,97.8%
4928,Gabbar is Back,998582,534601,463981,2015.csv,2015,53.5%,46.5%
4929,National Theatre Live: Antony & Cleopatra,998079,83672,914407,2018.csv,2018,8.4%,91.6%
4930,The Son,997544,70262,927282,2002.csv,2002,7%,93%
4931,"Polina, danser sa vie",996425,165203,831222,2016.csv,2016,16.6%,83.4%
