Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
426,Daddy's Home,242786137,150357137,92429000,2015.csv,2015,61.9%,38.1%
427,RoboCop,242688965,58607007,184081958,2014.csv,2014,24.1%,75.9%
428,Alien: Covenant,240891763,74262031,166629732,2017.csv,2017,30.8%,69.2%
429,Sully,240797623,125070033,115727590,2016.csv,2016,51.9%,48.1%
430,Assassin's Creed,240697856,54647948,186049908,2016.csv,2016,22.7%,77.3%
431,Resident Evil: Retribution,240159255,42345531,197813724,2012.csv,2012,17.6%,82.4%
432,Planes,239258712,90288712,148970000,2013.csv,2013,37.7%,62.3%
433,Crazy Rich Asians,238532921,174532921,64000000,2018.csv,2018,73.2%,26.8%
434,Gulliver's Travels,237382724,42779261,194603463,2010.csv,2010,18%,82%
435,Gone in 60 Seconds,237202299,101648571,135553728,2000.csv,2000,42.9%,57.1%
436,Silver Linings Playbook,236412453,132092958,104319495,2012.csv,2012,55.9%,44.1%
437,2 Fast 2 Furious,236350661,127154901,109195760,2003.csv,2003,53.8%,46.2%
438,Hidden Figures,235956898,169607287,66349611,2016.csv,2016,71.9%,28.1%
439,A.I. Artificial Intelligence,235926552,78616689,157309863,2001.csv,2001,33.3%,66.7%
440,Spy,235666219,110825712,124840507,2015.csv,2015,47%,53%
441,Howl's Moving Castle,235347345,4711096,230636249,2004.csv,2004,2%,98%
442,American Reunion,234989584,57011521,177978063,2012.csv,2012,24.3%,75.7%
443,Alvin and the Chipmunks: The Road Chip,234798636,85886987,148911649,2015.csv,2015,36.6%,63.4%
444,The Imitation Game,233555708,91125683,142430025,2014.csv,2014,39%,61%
445,American Wedding,232722935,104565114,128157821,2003.csv,2003,44.9%,55.1%
446,The Girl with the Dragon Tattoo,232617430,102515793,130101637,2011.csv,2011,44.1%,55.9%
447,Argo,232325503,136025503,96300000,2012.csv,2012,58.5%,41.5%
448,Annabelle Comes Home,231252591,74152591,157100000,2019.csv,2019,32.1%,67.9%
449,Constantine,230884728,75976178,154908550,2005.csv,2005,32.9%,67.1%
450,The Heat,229930771,159582188,70348583,2013.csv,2013,69.4%,30.6%
451,Ghostbusters,229147509,128350574,100796935,2016.csv,2016,56%,44%
452,Goodbye Mr. Loser,228122928,1293626,226829302,2015.csv,2015,0.6%,99.4%
453,Paddington 2,227978523,40891591,187086932,2017.csv,2017,17.9%,82.1%
454,Dolittle,227908130,77047065,150861065,2020.csv,2020,33.8%,66.2%
455,The Green Hornet,227817248,98780042,129037206,2011.csv,2011,43.4%,56.6%
456,Youth,227091290,1891956,225199334,2017.csv,2017,0.8%,99.2%
457,Baby Driver,226945087,107825862,119119225,2017.csv,2017,47.5%,52.5%
458,Immortals,226904017,83504017,143400000,2011.csv,2011,36.8%,63.2%
459,Percy Jackson & the Olympians: The Lightning Thief,226497209,88768303,137728906,2010.csv,2010,39.2%,60.8%
460,Hansel & Gretel: Witch Hunters,226349749,55703475,170646274,2013.csv,2013,24.6%,75.4%
461,Valerian and the City of a Thousand Planets,225874228,41189488,184684740,2017.csv,2017,18.2%,81.8%
462,Ford v Ferrari,225508210,117624357,107883853,2019.csv,2019,52.2%,47.8%
463,Better Days,225320294,1921657,223398637,2019.csv,2019,0.9%,99.1%
464,The Social Network,224920315,96962694,127957621,2010.csv,2010,43.1%,56.9%
465,Chicken Run,224834564,106834564,118000000,2000.csv,2000,47.5%,52.5%
466,Flightplan,223387299,89707299,133680000,2005.csv,2005,40.2%,59.8%
467,Non-Stop,222809600,92168600,130641000,2014.csv,2014,41.4%,58.6%
468,Fahrenheit 9/11,222446882,119194771,103252111,2004.csv,2004,53.6%,46.4%
469,Geostorm,221600160,33700160,187900000,2017.csv,2017,15.2%,84.8%
470,Collateral,220926695,101005703,119920992,2004.csv,2004,45.7%,54.3%
471,Scary Movie 3,220673217,110003217,110670000,2003.csv,2003,49.8%,50.2%
472,Elf,220443451,173398518,47044933,2003.csv,2003,78.7%,21.3%
473,Inferno,220021259,34343574,185677685,2016.csv,2016,15.6%,84.4%
474,Green Lantern,219851172,116601172,103250000,2011.csv,2011,53%,47%
475,The Terminal,219100084,77872883,141227201,2004.csv,2004,35.5%,64.5%
476,Captain Phillips,218791811,107100855,111690956,2013.csv,2013,49%,51%
477,Jack Reacher,218340595,80070736,138269859,2012.csv,2012,36.7%,63.3%
478,Kingdom of Heaven,218122627,47398413,170724214,2005.csv,2005,21.7%,78.3%
479,The Emoji Movie,217776646,86089513,131687133,2017.csv,2017,39.5%,60.5%
480,Dracula Untold,217124280,56280355,160843925,2014.csv,2014,25.9%,74.1%
481,Central Intelligence,216972543,127440871,89531672,2016.csv,2016,58.7%,41.3%
482,Million Dollar Baby,216763646,100492203,116271443,2004.csv,2004,46.4%,53.6%
483,The Help,216639112,169708112,46931000,2011.csv,2011,78.3%,21.7%
484,Valentine's Day,216485654,110485654,106000000,2010.csv,2010,51%,49%
485,Bad Teacher,216197492,100292856,115904636,2011.csv,2011,46.4%,53.6%
486,Ted 2,215863606,81476385,134387221,2015.csv,2015,37.7%,62.3%
487,Vertical Limit,215663859,69243859,146420000,2000.csv,2000,32.1%,67.9%
488,The Patriot,215294342,113330342,101964000,2000.csv,2000,52.6%,47.4%
489,The Sorcerer's Apprentice,215283742,63150991,152132751,2010.csv,2010,29.3%,70.7%
490,Just Go with It,214945591,103028109,111917482,2011.csv,2011,47.9%,52.1%
491,The Expendables 3,214657577,39322544,175335033,2014.csv,2014,18.3%,81.7%
492,Creed II,214215889,115715889,98500000,2018.csv,2018,54%,46%
493,Smallfoot,214040103,83240103,130800000,2018.csv,2018,38.9%,61.1%
494,The Bourne Identity,214034224,121661683,92372541,2002.csv,2002,56.8%,43.2%
495,The Aviator,213719942,102610330,111109612,2004.csv,2004,48%,52%
496,"Crouching Tiger, Hidden Dragon",213525736,128078872,85446864,2000.csv,2000,60%,40%
497,Into the Woods,212902372,128002372,84900000,2014.csv,2014,60.1%,39.9%
498,Miss Congeniality,212742720,106807667,105935053,2000.csv,2000,50.2%,49.8%
499,Bridget Jones's Baby,211952420,24252420,187700000,2016.csv,2016,11.4%,88.6%
500,Battle Los Angeles,211819354,83552429,128266925,2011.csv,2011,39.4%,60.6%
501,Fury,211817906,85817906,126000000,2014.csv,2014,40.5%,59.5%
502,Due Date,211780824,100539043,111241781,2010.csv,2010,47.5%,52.5%
503,Master and Commander: The Far Side of the World,211622535,93927920,117694615,2003.csv,2003,44.4%,55.6%
504,Lemony Snicket's A Series of Unfortunate Events,211468235,118634549,92833686,2004.csv,2004,56.1%,43.9%
505,The Others,209947037,96522687,113424350,2001.csv,2001,46%,54%
506,Horrible Bosses,209838559,117538559,92300000,2011.csv,2011,56%,44%
507,Red Dragon,209196298,93149898,116046400,2002.csv,2002,44.5%,55.5%
508,Tomorrowland,209035668,93436322,115599346,2015.csv,2015,44.7%,55.3%
509,Me Before You,208314186,56245075,152069111,2016.csv,2016,27%,73%
510,Safe House,208076205,126373434,81702771,2012.csv,2012,60.7%,39.3%
511,S.W.A.T.,207725639,116934650,90790989,2003.csv,2003,56.3%,43.7%
512,Traffic,207515725,124115725,83400000,2000.csv,2000,59.8%,40.2%
513,The Fast and the Furious,207283925,144533925,62750000,2001.csv,2001,69.7%,30.3%
514,Paranormal Activity 3,207039844,104028807,103011037,2011.csv,2011,50.2%,49.8%
515,Little Women,206006503,108101214,97905289,2019.csv,2019,52.5%,47.5%
516,London Has Fallen,205754447,62524260,143230187,2016.csv,2016,30.4%,69.6%
517,Journey to the West,205637183,18058,205619125,2013.csv,2013,<0.1%,100%
518,White House Down,205366737,73103784,132262953,2013.csv,2013,35.6%,64.4%
519,A Dog's Purpose,205035819,64508620,140527199,2017.csv,2017,31.5%,68.5%
520,Fun with Dick and Jane,204681899,110332737,94349162,2005.csv,2005,53.9%,46.1%
521,Eat Pray Love,204594016,80574010,124020006,2010.csv,2010,39.4%,60.6%
522,King Arthur,203567857,51882244,151685613,2004.csv,2004,25.5%,74.5%
523,Yogi Bear,203518375,100246011,103272364,2010.csv,2010,49.3%,50.7%
524,Everest,203427584,43482270,159945314,2015.csv,2015,21.4%,78.6%
525,Vanilla Sky,203388341,100618344,102769997,2001.csv,2001,49.5%,50.5%
526,Arrival,203388186,100546139,102842047,2016.csv,2016,49.4%,50.6%
527,Need for Speed,203277636,43577636,159700000,2014.csv,2014,21.4%,78.6%
528,Garfield,203172417,75369589,127802828,2004.csv,2004,37.1%,62.9%
529,The Addams Family,203044905,100044905,103000000,2019.csv,2019,49.3%,50.7%
530,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,201858461,84158461,117700000,2020.csv,2020,41.7%,58.3%
531,Straight Outta Compton,201634991,161197785,40437206,2015.csv,2015,79.9%,20.1%
532,21 Jump Street,201585328,138447667,63137661,2012.csv,2012,68.7%,31.3%
533,Cats & Dogs,200687492,93385515,107301977,2001.csv,2001,46.5%,53.5%
534,Percy Jackson: Sea of Monsters,199850315,68559554,131290761,2013.csv,2013,34.3%,65.7%
535,Two Weeks Notice,199043242,93354851,105688391,2002.csv,2002,46.9%,53.1%
536,RED,199006387,90380162,108626225,2010.csv,2010,45.4%,54.6%
537,The Pacifier,198636868,113086868,85550000,2005.csv,2005,56.9%,43.1%
538,50 First Dates,198520934,120908074,77612860,2004.csv,2004,60.9%,39.1%
539,Total Recall,198467168,58877969,139589199,2012.csv,2012,29.7%,70.3%
540,The Island,198326350,670883,197655467,2018.csv,2018,0.3%,99.7%
541,The Impossible,198087212,19019882,179067330,2012.csv,2012,9.6%,90.4%
542,Lost in Thailand,197757387,57387,197700000,2012.csv,2012,<0.1%,100%
543,Christopher Robin,197744377,99215042,98529335,2018.csv,2018,50.2%,49.8%
544,Jack the Giant Slayer,197687603,65187603,132500000,2013.csv,2013,33%,67%
545,Smurfs: The Lost Village,197183546,45020282,152163264,2017.csv,2017,22.8%,77.2%
546,Spy Kids 3-D: Game Over,197011982,111761982,85250000,2003.csv,2003,56.7%,43.3%
547,The Other Woman,196710396,83911193,112799203,2014.csv,2014,42.7%,57.3%
548,Panic Room,196397415,96397334,100000081,2002.csv,2002,49.1%,50.9%
549,The Vow,196114570,125014030,71100540,2012.csv,2012,63.7%,36.3%
550,Anger Management,195745823,135645823,60100000,2003.csv,2003,69.3%,30.7%
551,The Shape of Water,195333312,63859435,131473877,2017.csv,2017,32.7%,67.3%
552,The BFG,195243411,55483770,139759641,2016.csv,2016,28.4%,71.6%
553,Rocketman,195179299,96368160,98811139,2019.csv,2019,49.4%,50.6%
554,The Intern,194564672,75764672,118800000,2015.csv,2015,38.9%,61.1%
555,Wallace & Gromit: The Curse of the Were-Rabbit,194111171,56110897,138000274,2005.csv,2005,28.9%,71.1%
556,Gnomeo & Juliet,193967670,99967670,94000000,2011.csv,2011,51.5%,48.5%
557,The Sum of All Fears,193921372,118907036,75014336,2002.csv,2002,61.3%,38.7%
558,Gangs of New York,193772504,77812000,115960504,2002.csv,2002,40.2%,59.8%
559,The Monkey King 2,193678298,709982,192968316,2016.csv,2016,0.4%,99.6%
560,The Equalizer,192330738,101530738,90800000,2014.csv,2014,52.8%,47.2%
561,The Lego Movie 2: The Second Part,192306508,105806508,86500000,2019.csv,2019,55%,45%
562,Downton Abbey,192094429,96854135,95240294,2019.csv,2019,50.4%,49.6%
563,The Longest Yard,191466556,158119460,33347096,2005.csv,2005,82.6%,17.4%
564,The Equalizer 2,190400157,102084362,88315795,2018.csv,2018,53.6%,46.4%
565,Hollow Man,190213455,73209340,117004115,2000.csv,2000,38.5%,61.5%
566,Cheaper by the Dozen,190212113,138614544,51597569,2003.csv,2003,72.9%,27.1%
567,Abominable,189892513,60716390,129176123,2019.csv,2019,32%,68%
568,The White Storm 2: Drug Lords,189396380,609461,188786919,2019.csv,2019,0.3%,99.7%
569,Breakup Buddies,189017596,777896,188239700,2014.csv,2014,0.4%,99.6%
570,The Secret Life of Walter Mitty,188133322,58236838,129896484,2013.csv,2013,31%,69%
571,12 Years a Slave,187733202,56671993,131061209,2013.csv,2013,30.2%,69.8%
572,Mr. Popper's Penguins,187361754,68224452,119137302,2011.csv,2011,36.4%,63.6%
573,The Grudge,187281115,110359362,76921753,2004.csv,2004,58.9%,41.1%
574,Weathering with You,186921054,7798743,179122311,2019.csv,2019,4.2%,95.8%
575,Walk the Line,186797986,119519402,67278584,2005.csv,2005,64%,36%
576,Atlantis: The Lost Empire,186053725,84056472,101997253,2001.csv,2001,45.2%,54.8%
577,Hugo,185770160,73864507,111905653,2011.csv,2011,39.8%,60.2%
578,The Lion King 2011 3D Release,185542001,94242001,91300000,2011.csv,2011,50.8%,49.2%
579,Pitch Perfect 3,185400345,104897530,80502815,2017.csv,2017,56.6%,43.4%
580,Hop,183953723,108085305,75868418,2011.csv,2011,58.8%,41.2%
581,Bad Moms,183936074,113257297,70678777,2016.csv,2016,61.6%,38.4%
