Rank,Release Group,Worldwide,Domestic,%,Foreign,%
70,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
71,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
72,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
73,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
74,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
75,Malignant,"$33,974,014","$13,374,014",39.4%,"$20,600,000",60.6%
76,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
77,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
78,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
79,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
80,Respect,"$31,379,399","$24,278,399",77.4%,"$7,101,000",22.6%
81,Resident Evil: Welcome to Raccoon City,"$31,129,852","$16,229,852",52.1%,"$14,900,000",47.9%
82,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
83,The Last Duel,"$30,494,876","$10,853,945",35.6%,"$19,640,931",64.4%
84,Escape from Mogadishu,"$29,855,981","$346,271",1.2%,"$29,509,710",98.8%
85,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
86,Master,"$28,692,230",-,-,"$28,692,230",100%
87,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
88,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$27,702,998",-,-,"$27,702,998",100%
89,Chaos Walking,"$26,456,630","$13,287,908",50.2%,"$13,168,722",49.8%
90,The Courier,"$25,929,455","$6,613,432",25.5%,"$19,316,023",74.5%
91,King Richard,"$24,839,032","$14,539,032",58.5%,"$10,300,000",41.5%
92,Those Who Wish Me Dead,"$23,408,489","$7,347,103",31.4%,"$16,061,386",68.6%
93,The Marksman,"$23,055,342","$15,566,093",67.5%,"$7,489,249",32.5%
94,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
